#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Расход,Параметр:Заказной код:Среда,Параметр:Заказной код:Тип корпуса,Параметр:Заказной код:Концевые выключатели,Параметр:Заказной код:Защита,Параметр:Заказной код:Направление потока,Параметр:Заказной код:LCD Дисплей
,BR250S-GT-0-C-A-A-30-6F-G-S-S(15-150)-10-N-N-1,ANSI 300# 3/4,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-30-10F-G-S-S(15-150)-10-N-N-1,ANSI 300# 1,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-60-4F-G-S-S(15-150)-10-N-N-1,ANSI 600# 1/2,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-60-6F-G-S-S(15-150)-10-N-N-1,ANSI 600# 3/4,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-60-10F-G-S-S(15-150)-10-N-N-1,ANSI 600# 1,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G10-4F-G-S-S(15-150)-10-N-N-1,ГОСТ Py10 Dy15,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G10-6F-G-S-S(15-150)-10-N-N-1,ГОСТ Py10 Dy20,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G10-10F-G-S-S(15-150)-10-N-N-1,ГОСТ Py10 Dy25,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G16-4F-G-S-S(15-150)-10-N-N-1,ГОСТ Py16 Dy15,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G16-6F-G-S-S(15-150)-10-N-N-1,ГОСТ Py16 Dy20,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G16-10F-G-S-S(15-150)-10-N-N-1,ГОСТ Py16 Dy25,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G25-4F-G-S-S(15-150)-10-N-N-1,ГОСТ Py25 Dy15,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G25-6F-G-S-S(15-150)-10-N-N-1,ГОСТ Py25 Dy20,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
,BR250S-GT-0-C-A-A-G25-10F-G-S-S(15-150)-10-N-N-1,ГОСТ Py25 Dy25,15-150 нм³/час,Пар,"C: Алюминиевый, со взрывозащитой<br/><img src=products/flow-control/float-flow-meter-arrow/br250s/BR250S-Cm.png/>",Пропорциональный выходной сигнал 4~20мА,взрывозащита,справа налево<br/><img src=products/flow-control/float-flow-meter-arrow/rl.png/>,без дисплея
